Brewery_id,Beer,Beer_ID,Percent_ABV,IBU,Style,Ounces,Brewery,City,State,MedianIBU,MedianABV
3,Leisure Time,2672,4.8,15,American Pale Lager,12,Jack's Abby Craft Lagers,Framingham, MA,31,5.4
3,Excess IPL,2671,7.2,80,American India Pale Lager,16,Jack's Abby Craft Lagers,Framingham, MA,31,5.4
3,Hoponius Union,2670,6.7,65,American India Pale Lager,12,Jack's Abby Craft Lagers,Framingham, MA,31,5.4
3,Calyptra,2669,4.9,45,American India Pale Lager,12,Jack's Abby Craft Lagers,Framingham, MA,31,5.4
4,Habitus (2014),2668,8,100,American Double / Imperial IPA,16,Mike Hess Brewing Company,San Diego, CA,40,5.8
4,Solis,2667,7.5,85,American IPA,16,Mike Hess Brewing Company,San Diego, CA,40,5.8
4,Jucundus,2666,6,24,Wheat Ale,16,Mike Hess Brewing Company,San Diego, CA,40,5.8
4,Habitus,2664,8,100,American Double / Imperial IPA,16,Mike Hess Brewing Company,San Diego, CA,40,5.8
4,Grazias,2663,6.3,30,Cream Ale,16,Mike Hess Brewing Company,San Diego, CA,40,5.8
4,Claritas,2662,5.8,28,Kölsch,16,Mike Hess Brewing Company,San Diego, CA,40,5.8
5,Park,2661,4.7,19,American Pale Wheat Ale,12,Fort Point Beer Company,San Francisco, CA,40,5.8
5,Westfalia,2660,5.6,16,American Amber / Red Ale,12,Fort Point Beer Company,San Francisco, CA,40,5.8
5,KSA,2659,4.6,17,Kölsch,12,Fort Point Beer Company,San Francisco, CA,40,5.8
5,Villager,2658,6.3,42,American IPA,12,Fort Point Beer Company,San Francisco, CA,40,5.8
6,Blackbeard,2657,9.3,62,American Double / Imperial Stout,12,COAST Brewing Company,Charleston, SC,32.5,5.5
6,Rye Knot,2656,6.2,29,American Brown Ale,12,COAST Brewing Company,Charleston, SC,32.5,5.5
6,Dead Arm,2655,6,44,American Pale Ale (APA),12,COAST Brewing Company,Charleston, SC,32.5,5.5
6,32°/50° Kölsch ,2654,4.8,21,Kölsch,16,COAST Brewing Company,Charleston, SC,32.5,5.5
6,HopArt,2653,7.7,67,American IPA,16,COAST Brewing Company,Charleston, SC,32.5,5.5
6,Boy King,2652,9.7,93,American Double / Imperial IPA,16,COAST Brewing Company,Charleston, SC,32.5,5.5
7,Denver Pale Ale (Artist Series No. 1),2650,5,44,American Pale Ale (APA),12,Great Divide Brewing Company,Denver, CO,36,6
7,Hibernation Ale,2649,8.7,40,Old Ale,12,Great Divide Brewing Company,Denver, CO,36,6
7,Whitewater,2648,6.1,20,American Pale Wheat Ale,12,Great Divide Brewing Company,Denver, CO,36,6
7,Rumble,2647,7.1,67,American IPA,12,Great Divide Brewing Company,Denver, CO,36,6
7,Orabelle,2646,8.3,23,Tripel,12,Great Divide Brewing Company,Denver, CO,36,6
7,Lasso,2645,5,67,American IPA,12,Great Divide Brewing Company,Denver, CO,36,6
7,Yeti  Imperial Stout,2644,9.5,75,Russian Imperial Stout,12,Great Divide Brewing Company,Denver, CO,36,6
7,Colette,2643,7.3,28,Saison / Farmhouse Ale,12,Great Divide Brewing Company,Denver, CO,36,6
7,Titan IPA,2642,7.1,67,American IPA,12,Great Divide Brewing Company,Denver, CO,36,6
8,Peck's Porter,2640,6.5,35,American Porter,16,Tapistry Brewing,Bridgman, MI,29,6.05
8,Reactor,2448,7,67,American IPA,16,Tapistry Brewing,Bridgman, MI,29,6.05
8,Mr. Orange,2447,5.7,16,Witbier,16,Tapistry Brewing,Bridgman, MI,29,6.05
9,Dark Star,2639,8,54,American Stout,16,Big Lake Brewing,Holland, MI,29,6.05
9,Ryecoe,2469,6.2,67,American IPA,16,Big Lake Brewing,Holland, MI,29,6.05
10,G. B. Russo’s Italian Pistachio Pale Ale,2638,5.2,44,American Pale Ale (APA),16,The Mitten Brewing Company,Grand Rapids, MI,29,6.05
11,Belfort,2637,6.7,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Star Runner,2636,6,23,Belgian Pale Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Tart Side of the Barrel,2598,9.8,62,American Double / Imperial Stout,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Linnaeus Mango IPA,2597,6,67,American IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Beasts A'Burnin',2548,7,NA,Rauchbier,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Verdun,2542,7.7,23,Bière de Garde,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Barrel Aged Triomphe,2541,6.5,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Cherry Doppelbock,2504,6.5,24,Doppelbock,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Tropical Saison,2500,6.5,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Beach Patrol,2499,6.5,16,Witbier,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Nuit Serpent,2498,5,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Paris,2481,9,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,The Grand Army,2476,5.5,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Acidulated Trip,2467,5.9,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Root Stock,2466,6.6,52,Rye Beer,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Mind Games,2465,4.1,16,Dunkelweizen,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Sous Chef,2433,8.2,25,Belgian Strong Pale Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Dubbelicious,2418,6.5,21,Dubbel,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Psychopomp,2416,6.2,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Fat Paczki,2382,7.4,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Earth-Like Planets,2381,6.1,23,Belgian Pale Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Ski Patrol,2290,6.1,16,Witbier,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Viking Ice Hole,2241,6.3,28,Oatmeal Stout,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Rye Porter,2240,5.6,31,American Porter,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Wizard Burial Ground,2137,9.9,24,Quadrupel (Quad),16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Smoky Wheat,2101,5.1,NA,Rauchbier,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,BRIPA,2092,6.2,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Mela,2091,6.2,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,W.I.P.A Snappa,2086,5.3,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Pepper in the Rye,2023,6.3,52,Rye Beer,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Moe Lasses',2006,6.4,41,American Stout,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Pumpkin Tart,1997,7,14,Fruit / Vegetable Beer,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Undertaker,1977,6.7,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Undertaker (2014),1976,6.7,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Coq D'Or,1974,5,23,Belgian Pale Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,North French,1973,6,23,Bière de Garde,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Agent a Deux,1959,6.5,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Belgian Wit,1958,4.5,16,Witbier,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Pothole Stout,1949,6.3,41,American Stout,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Tree Bucket,1947,9.3,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Le Flaneur Ale,1785,7.3,27,American Wild Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Maize & Blueberry,1651,5.6,14,Fruit / Vegetable Beer,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Trebuchet Double IPA,1443,9.3,93,American Double / Imperial IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Contemplation,1352,6.5,23,Bière de Garde,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Black Rabbit,1267,5,68,American Black Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Zaison,1266,9,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Vivant Tripel,1178,8.2,23,Tripel,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Tart Side of the Moon,1136,9.8,29,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Big Red Coq,1044,6,36,American Amber / Red Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Hubris Quadrupel Anniversary Ale,1033,9.9,24,Quadrupel (Quad),16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Plow Horse Belgian Style Imperial Stout,1031,9.5,62,American Double / Imperial Stout,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Escoffier Bretta Ale,909,9.2,27,American Wild Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Contemplation (2012),873,6.5,23,Bière de Garde,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Vivant Belgian Style Imperial Stout (2012),860,9.9,86,Russian Imperial Stout,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Big Red Coq (2012),677,6.2,36,American Amber / Red Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Zaison (2012),671,9,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Vivant Tripel (2012),670,9.2,23,Tripel,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Trebuchet Double IPA (2012),669,9.7,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Kludde,627,8.5,72,Belgian Strong Dark Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Farm Hand,387,5.5,28,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Solitude,385,6,23,Belgian Pale Ale,16,Brewery Vivant,Grand Rapids, MI,29,6.05
11,Triomphe,384,6.5,57,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,29,6.05
12,Sparkle,2635,4.1,12,American Pale Lager,16,Petoskey Brewing,Petoskey, MI,29,6.05
12,North 45 Amber Ale,1404,5.9,25,American Amber / Red Ale,16,Petoskey Brewing,Petoskey, MI,29,6.05
12,Horny Monk,1403,6.9,20,Dubbel,16,Petoskey Brewing,Petoskey, MI,29,6.05
12,Mind's Eye PA,1402,6.7,74,American IPA,16,Petoskey Brewing,Petoskey, MI,29,6.05
13,Nordskye ,2634,4.8,47,American IPA,12,Blackrocks Brewery,Marquette, MI,29,6.05
13,North Third Stout,2153,6,30,Foreign / Export Stout,12,Blackrocks Brewery,Marquette, MI,29,6.05
13,Honey Lav,1953,5.2,20,American Pale Wheat Ale,12,Blackrocks Brewery,Marquette, MI,29,6.05
13,Coconut Brown Ale,1496,6.8,29,American Brown Ale,12,Blackrocks Brewery,Marquette, MI,29,6.05
13,51K IPA,1481,7,51,American IPA,12,Blackrocks Brewery,Marquette, MI,29,6.05
13,Grand Rabbits,1480,5.5,20,Cream Ale,12,Blackrocks Brewery,Marquette, MI,29,6.05
14,Hotbox Brown,2633,5.5,10,American Brown Ale,12,Perrin Brewing Company,Comstock Park, MI,29,6.05
14,Gold,2632,4.8,15,American Blonde Ale,12,Perrin Brewing Company,Comstock Park, MI,29,6.05
14,Black,2631,5.8,68,American Black Ale,12,Perrin Brewing Company,Comstock Park, MI,29,6.05
14,98 Problems (Cuz A Hop Ain't One),2630,6.5,65,American IPA,12,Perrin Brewing Company,Comstock Park, MI,29,6.05
14,Veteran’s Pale Ale (VPA),2629,5,40,American Pale Ale (APA),12,Perrin Brewing Company,Comstock Park, MI,29,6.05
14,Grapefruit IPA,2628,5,35,American IPA,12,Perrin Brewing Company,Comstock Park, MI,29,6.05
15,Train Hopper,2627,5.8,72,American IPA,12,Witch's Hat Brewing Company,South Lyon, MI,29,6.05
15,Edward’s Portly Brown,2626,4.5,29,American Brown Ale,12,Witch's Hat Brewing Company,South Lyon, MI,29,6.05
16,Dirty Bastard,2625,8.5,50,Scotch Ale / Wee Heavy,12,Founders Brewing Company,Grand Rapids, MI,29,6.05
16,Centennial IPA,1565,7.2,65,American IPA,12,Founders Brewing Company,Grand Rapids, MI,29,6.05
16,All Day IPA,1223,4.7,42,American IPA,12,Founders Brewing Company,Grand Rapids, MI,29,6.05
17,Deflator,2624,6.5,24,Doppelbock,16,Flat 12 Bierwerks,Indianapolis, IN,31,6
17,Hinchtown Hammer Down,2284,5,27,American Blonde Ale,16,Flat 12 Bierwerks,Indianapolis, IN,31,6
17,Half Cycle IPA,1610,6,104,American IPA,16,Flat 12 Bierwerks,Indianapolis, IN,31,6
18,Cafe Leche,2623,5.8,20,American Porter,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Damascene Apricot Sour,2622,5.2,12,Fruit / Vegetable Beer,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Csar,2621,12,90,Russian Imperial Stout,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Klingon Warnog Roggen Dunkel,1817,5.5,20,Roggenbier,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Overlord Imperial IPA,1449,8.5,115,American Double / Imperial IPA,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Alloy,951,5.8,36,American IPA,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Rivet Irish Red Ale,950,5.1,22,Irish Red Ale,16,Tin Man Brewing Company,Evansville, IN,31,6
18,3 Gear Robust Porter,949,5.2,50,American Porter,16,Tin Man Brewing Company,Evansville, IN,31,6
18,Circuit Bohemian Pilsner,948,4.5,35,Czech Pilsener,16,Tin Man Brewing Company,Evansville, IN,31,6
19,Saucy Intruder,2620,7.2,75,Rye Beer,16,Black Acre Brewing Co.,Indianapolis, IN,31,6
20,Insert Hop Reference,2619,5.8,44,American Pale Ale (APA),16,Brew Link Brewing,Plainfield, IN,31,6
21,Thai.p.a,2618,7,46,American IPA,16,Bare Hands Brewery,Granger, IN,31,6
22,Citra Faced,2617,5.5,64,American Pale Wheat Ale,16,Three Pints Brewing,Martinsville, IN,31,6
22,Pole Barn Stout,2616,5.5,31,Oatmeal Stout,16,Three Pints Brewing,Martinsville, IN,31,6
22,Pale,2615,5.4,37,American Pale Ale (APA),16,Three Pints Brewing,Martinsville, IN,31,6
22,Yoshi's Nectar,2614,5.3,27,California Common / Steam Beer,16,Three Pints Brewing,Martinsville, IN,31,6
23,Feel Like Maplin' Love,2613,5.5,28,Oatmeal Stout,16,Four Fathers Brewing ,Valparaiso, IN,31,6
23,Father's Beer,2612,5,23,Belgian Pale Ale,16,Four Fathers Brewing ,Valparaiso, IN,31,6
23,The 26th,2611,6,67,American IPA,16,Four Fathers Brewing ,Valparaiso, IN,31,6
23,The Gadget,2610,6.4,90,American IPA,16,Four Fathers Brewing ,Valparaiso, IN,31,6
24,Tribute,2609,5.8,58,American Pale Ale (APA),12,Indiana City Brewing,Indianapolis, IN,31,6
25,Wrath of Pele,2608,6.5,29,American Brown Ale,16,Burn 'Em Brewing,Michigan City, IN,31,6
25,Black Beer'd,2607,6.8,68,American Black Ale,16,Burn 'Em Brewing,Michigan City, IN,31,6
25,Mr. Tea,2606,7.8,14,Fruit / Vegetable Beer,24,Burn 'Em Brewing,Michigan City, IN,31,6
25,Pale Alement,2478,5.5,40,American Pale Ale (APA),12,Burn 'Em Brewing,Michigan City, IN,31,6
25,Hopkick Dropkick,2471,9.9,115,American Double / Imperial IPA,12,Burn 'Em Brewing,Michigan City, IN,31,6
25,Kreamed Corn,2470,6,20,Cream Ale,12,Burn 'Em Brewing,Michigan City, IN,31,6
25,Coconoats,2464,6.5,20,American Pale Wheat Ale,16,Burn 'Em Brewing,Michigan City, IN,31,6
25,Joey Wheat,2160,6.8,16,American Pale Wheat Ale,16,Burn 'Em Brewing,Michigan City, IN,31,6
25,3:33 Black IPA,2158,7.2,86,American IPA,16,Burn 'Em Brewing,Michigan City, IN,31,6
25,MCA,2072,6.8,67,American IPA,16,Burn 'Em Brewing,Michigan City, IN,31,6
25,Pale Alement,2054,5.5,40,American Pale Ale (APA),16,Burn 'Em Brewing,Michigan City, IN,31,6
26,Tip Off,2605,5.2,29,Altbier,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Java Mac,2215,5.4,26,Scottish Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Cowbell,2164,5.4,23,American Porter,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Hop Up Offa That Brett (2014),2085,5.8,20,Belgian Pale Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,PV Muckle (2013),2084,8.3,23,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Bourbon Barrel Batch 666: Sympathy for the Devil,2083,9.9,36,Belgian Dark Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Whip Fight,2082,9,30,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Port Barrel Wee Mac ,2081,5.3,23,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Fistful Of Hops Red,2001,6.4,75,American IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Fistful of Hops Orange,2000,6.3,75,American IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Fistful Of Hops Blue,1999,6.4,75,American IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Fistful of Hops Green,1996,6.4,75,American IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,30 Min Coma,1948,7.1,57,Belgian IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Wee Muckle,1656,9,30,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Royal Brat,1599,6.5,55,Extra Special / Strong Bitter (ESB),16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Grapefruit Jungle (GFJ),1420,7.5,77,American IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Osiris Pale Ale,1389,5.6,50,American Pale Ale (APA),16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Bourbon Barrel Aged Timmie,1367,9.9,75,Russian Imperial Stout,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Stupid Sexy Flanders,1366,6.3,23,Flanders Oud Bruin,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Bourbon Barrel Cowbell,1347,6,31,American Porter,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Popcorn Pilsner,1314,5.4,34,German Pilsener,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Ring of Dingle,1128,7.1,27,Irish Dry Stout,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Bourbon Barrel Wee Mac,1127,5.4,23,Scottish Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Bourbon Barrel Johan,1049,9.9,60,English Barleywine,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,The Deuce,934,7,29,American Brown Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,The Velvet Fog,923,9,24,Quadrupel (Quad),16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Sun King Oktoberfest,874,5.5,23,Märzen / Oktoberfest,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Indianapolis Indians Lager,739,5.2,24,Dortmunder / Export Lager,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Indians Victory Lager (2012),698,5.2,24,Dortmunder / Export Lager,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Chaka,660,8,25,Belgian Strong Pale Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Isis,651,9.1,91,American Double / Imperial IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Wee Muckle (2011),584,9,30,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Grapefruit Jungle (GFJ) (2011),532,7.5,77,American IPA,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Sun King Oktoberfest (2011),526,5.5,23,Märzen / Oktoberfest,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Johan the Barleywine,394,9.9,60,English Barleywine,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Wee Mac Scottish-Style Ale,213,5.4,23,Scottish Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Sunlight Cream Ale,55,5.3,20,Cream Ale,16,Sun King Brewing Company,Indianapolis, IN,31,6
26,Osiris Pale Ale (2010),54,5.6,50,American Pale Ale (APA),16,Sun King Brewing Company,Indianapolis, IN,31,6
27,Blonde Czich,2604,4.9,23,American Blonde Ale,16,Evil Czech Brewery,Mishawaka, IN,31,6
27,White Reaper,2432,7,61,Belgian IPA,16,Evil Czech Brewery,Mishawaka, IN,31,6
27,Bobblehead,2431,5.1,20,American Pale Wheat Ale,16,Evil Czech Brewery,Mishawaka, IN,31,6
27,Lucky Dog,2430,5.2,44,American Pale Ale (APA),16,Evil Czech Brewery,Mishawaka, IN,31,6
27,Voodoo,2429,4.8,31,American Porter,16,Evil Czech Brewery,Mishawaka, IN,31,6
27,General George Patton Pilsner,1967,5.4,48,Czech Pilsener,16,Evil Czech Brewery,Mishawaka, IN,31,6
28,Galaxyfest,2603,6.5,67,American IPA,16,450 North Brewing Company,Columbus, IN,31,6
28,Citrafest,2602,5,45,American IPA,16,450 North Brewing Company,Columbus, IN,31,6
28,Barn Yeti,2220,9,72,Belgian Strong Dark Ale,16,450 North Brewing Company,Columbus, IN,31,6
28,Scarecrow,2219,6.9,65,American IPA,16,450 North Brewing Company,Columbus, IN,31,6
28,Ironman,2218,9,50,English Strong Ale,16,450 North Brewing Company,Columbus, IN,31,6
28,Honey Kolsch,2217,4.6,15,Kölsch,16,450 North Brewing Company,Columbus, IN,31,6
28,Copperhead Amber,2216,5.2,18,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN,31,6
29,Deduction,2601,8,22,Dubbel,12,Taxman Brewing Company,Bargersville, IN,31,6
30,Gone A-Rye,2600,8.5,90,American Double / Imperial IPA,16,Cedar Creek Brewery,Seven Points, TX,33,5.5
30,Dankosaurus,2052,6.8,70,American IPA,16,Cedar Creek Brewery,Seven Points, TX,33,5.5
30,Scruffy's Smoked Alt,1584,5.1,35,Smoked Beer,16,Cedar Creek Brewery,Seven Points, TX,33,5.5
30,Elliott's Phoned Home Pale Ale,1182,5.1,36,American Pale Ale (APA),16,Cedar Creek Brewery,Seven Points, TX,33,5.5
30,The Lawn Ranger,1050,5,18,Cream Ale,16,Cedar Creek Brewery,Seven Points, TX,33,5.5
31,Sex Panther,2599,6.9,20,American Porter,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Winter Warmer (Vault Series),2073,9.5,25,Winter Warmer,16,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Count Hopula (Vault Series),2063,9.1,99,American Double / Imperial IPA,16,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Oktoberfest,1995,5.5,22,Märzen / Oktoberfest,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,SunSpot Golden Ale,1934,5,15,American Blonde Ale,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,I.W.A. (2011),1329,6,20,American Pale Wheat Ale,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Supermonk I.P.A.,1299,6.5,57,Belgian IPA,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Epicenter Amber Ale,1073,5.5,20,American Amber / Red Ale,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,SanTan HefeWeizen,1072,5,15,Hefeweizen,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Hop Shock IPA,1071,7,85,American IPA,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Sex Panther (2014),852,6.9,20,American Porter,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Devil’s Ale,850,5.5,45,American Pale Ale (APA),12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Rail Slide Imperial Spiced Ale,839,8.1,22,Herbed / Spiced Beer,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Mr. Pineapple,777,5,20,Fruit / Vegetable Beer,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,American Idiot Ale (2012),764,5.5,45,American Pale Ale (APA),12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,Hop Shock IPA (2010),317,7,85,American IPA,12,SanTan Brewing Company,Chandler, AZ,22,5.7
31,SanTan HefeWeizen (2010),286,5,15,Hefeweizen,12,SanTan Brewing Company,Chandler, AZ,22,5.7
